,Similar_metric,DTW
p100_VGG19_batchsize16_datasize128_total_epoch10_totaldata5000,g5_AlexNet_batchsize64_datasize32_total_epoch10_totaldata50000,1.0073564789720653
p100_VGG19_batchsize256_datasize128_total_epoch10_totaldata5000,g5_VGG19_batchsize16_datasize32_total_epoch10_totaldata50000,7.058716194135034
p100_VGG19_batchsize32_datasize32_total_epoch10_totaldata50000,g5_MNIST_CNN_batchsize64_datasize32_total_epoch10_totaldata50000,6.228464371682009
p100_VGG19_batchsize64_datasize128_total_epoch10_totaldata5000,p3_AlexNet_batchsize16_datasize128_total_epoch10_totaldata5000,2.367494844995707
p100_VGG19_batchsize64_datasize32_total_epoch10_totaldata50000,g4dn_VGG19_batchsize32_datasize64_total_epoch10_totaldata5000,1.4162480620952478
p100_VGG19_batchsize128_datasize128_total_epoch10_totaldata5000,p3_AlexNet_batchsize16_datasize224_total_epoch10_totaldata2000,5.496072975977712
p100_VGG19_batchsize32_datasize128_total_epoch10_totaldata5000,p3_AlexNet_batchsize16_datasize224_total_epoch10_totaldata2000,2.4299316801211592
p100_VGG19_batchsize16_datasize256_total_epoch10_totaldata2000,g4dn_ResNet50_batchsize16_datasize128_total_epoch10_totaldata5000,1.0174860454648382
p100_VGG19_batchsize16_datasize32_total_epoch10_totaldata50000,g4dn_ResNet50_batchsize16_datasize32_total_epoch10_totaldata50000,5.608266067793517
p100_VGG19_batchsize32_datasize64_total_epoch10_totaldata5000,p3_VGG19_batchsize128_datasize128_total_epoch10_totaldata5000,16.839585046792358
p100_VGG19_batchsize32_datasize256_total_epoch10_totaldata2000,g5_VGG19_batchsize128_datasize256_total_epoch10_totaldata2000,2.7832537349546858
p100_VGG19_batchsize64_datasize64_total_epoch10_totaldata5000,g4dn_CIFAR10_CNN_batchsize16_datasize128_total_epoch10_totaldata5000,5.577095555475756
p100_VGG19_batchsize64_datasize256_total_epoch10_totaldata2000,g5_VGG19_batchsize128_datasize256_total_epoch10_totaldata2000,1.2243569539143266
p100_VGG19_batchsize128_datasize64_total_epoch10_totaldata5000,g5_AlexNet_batchsize64_datasize64_total_epoch10_totaldata5000,5.10567371281983
p100_ResNet50_batchsize128_datasize256_total_epoch10_totaldata2000,g5_InceptionResNetV2_batchsize128_datasize224_total_epoch10_totaldata2000,3.0219506010980135
p100_ResNet50_batchsize16_datasize64_total_epoch10_totaldata5000,g5_InceptionResNetV2_batchsize64_datasize224_total_epoch10_totaldata2000,0.9336624547677046
