,Similar_metric,DTW
p100_VGG19_batchsize128_datasize256_total_epoch10_totaldata2000,g5_MNIST_CNN_batchsize256_datasize128_total_epoch10_totaldata5000,12.578595473024011
p100_VGG19_batchsize16_datasize64_total_epoch10_totaldata5000,g4dn_CIFAR10_CNN_batchsize32_datasize224_total_epoch10_totaldata2000,3.720462658623013
p100_VGG19_batchsize64_datasize224_total_epoch10_totaldata2000,g4dn_ResNet50_batchsize64_datasize128_total_epoch10_totaldata5000,3.993046693404836
p100_VGG19_batchsize256_datasize64_total_epoch10_totaldata5000,p3_ResNet50_batchsize128_datasize128_total_epoch10_totaldata5000,4.390145099658048
p100_VGG19_batchsize128_datasize224_total_epoch10_totaldata2000,g4dn_AlexNet_batchsize256_datasize128_total_epoch10_totaldata5000,1.2254829279671386
p100_VGG19_batchsize128_datasize32_total_epoch10_totaldata50000,g5_AlexNet_batchsize16_datasize224_total_epoch10_totaldata2000,1.5445199813643158
p100_VGG19_batchsize256_datasize32_total_epoch10_totaldata50000,p3_VGG19_batchsize32_datasize256_total_epoch10_totaldata2000,6.038980443386188
p100_VGG19_batchsize32_datasize224_total_epoch10_totaldata2000,g5_AlexNet_batchsize256_datasize128_total_epoch10_totaldata5000,6.830674498368603
p100_VGG19_batchsize16_datasize224_total_epoch10_totaldata2000,g5_AlexNet_batchsize256_datasize128_total_epoch10_totaldata5000,5.3436744908046245
p100_VGG19_batchsize16_datasize128_total_epoch10_totaldata5000,g5_VGG19_batchsize32_datasize32_total_epoch10_totaldata50000,1.5226401187110858
p100_VGG19_batchsize256_datasize128_total_epoch10_totaldata5000,g5_InceptionResNetV2_batchsize32_datasize128_total_epoch10_totaldata5000,1.5569968590570682
p100_VGG19_batchsize32_datasize32_total_epoch10_totaldata50000,g4dn_VGG19_batchsize32_datasize32_total_epoch10_totaldata50000,2.739842618808596
p100_VGG19_batchsize64_datasize128_total_epoch10_totaldata5000,p3_VGG19_batchsize32_datasize256_total_epoch10_totaldata2000,10.487311411297279
p100_VGG19_batchsize64_datasize32_total_epoch10_totaldata50000,g5_AlexNet_batchsize32_datasize32_total_epoch10_totaldata50000,2.3577715758159545
p100_VGG19_batchsize128_datasize128_total_epoch10_totaldata5000,p3_VGG19_batchsize64_datasize256_total_epoch10_totaldata2000,3.177467104184603
p100_VGG19_batchsize32_datasize128_total_epoch10_totaldata5000,g5_VGG19_batchsize64_datasize256_total_epoch10_totaldata2000,5.765892473688772
p100_VGG19_batchsize16_datasize256_total_epoch10_totaldata2000,g5_AlexNet_batchsize64_datasize256_total_epoch10_totaldata2000,6.720221348534316
p100_VGG19_batchsize16_datasize32_total_epoch10_totaldata50000,p3_LeNet5_batchsize256_datasize64_total_epoch10_totaldata5000,16.740819404386492
p100_VGG19_batchsize32_datasize64_total_epoch10_totaldata5000,p3_InceptionV3_batchsize32_datasize224_total_epoch10_totaldata2000,11.298165637863884
p100_VGG19_batchsize32_datasize256_total_epoch10_totaldata2000,g4dn_InceptionV3_batchsize16_datasize224_total_epoch10_totaldata2000,8.226846139318024
p100_VGG19_batchsize64_datasize64_total_epoch10_totaldata5000,p3_ResNet50_batchsize128_datasize128_total_epoch10_totaldata5000,4.364002485585935
p100_VGG19_batchsize64_datasize256_total_epoch10_totaldata2000,p3_InceptionResNetV2_batchsize128_datasize224_total_epoch10_totaldata2000,1.1843108955785686
p100_VGG19_batchsize128_datasize64_total_epoch10_totaldata5000,g4dn_AlexNet_batchsize64_datasize128_total_epoch10_totaldata5000,3.3423249400503554
p100_ResNet50_batchsize128_datasize256_total_epoch10_totaldata2000,p3_ResNet50_batchsize128_datasize32_total_epoch10_totaldata50000,2.509552871301058
p100_ResNet50_batchsize16_datasize64_total_epoch10_totaldata5000,p3_ResNet50_batchsize16_datasize128_total_epoch10_totaldata5000,0.9499036636524272
p100_ResNet50_batchsize64_datasize128_total_epoch10_totaldata5000,g4dn_VGG19_batchsize256_datasize128_total_epoch10_totaldata5000,3.3105662375423197
p100_ResNet50_batchsize128_datasize64_total_epoch10_totaldata5000,p3_ResNetSmall_batchsize32_datasize64_total_epoch10_totaldata5000,4.1409615312404116
p100_ResNet50_batchsize16_datasize224_total_epoch10_totaldata2000,g5_InceptionResNetV2_batchsize32_datasize224_total_epoch10_totaldata2000,0.8928508330782511
p100_ResNet50_batchsize32_datasize32_total_epoch10_totaldata50000,g4dn_InceptionResNetV2_batchsize16_datasize224_total_epoch10_totaldata2000,0.8183507166773446
p100_ResNet50_batchsize128_datasize32_total_epoch10_totaldata50000,g5_LeNet5_batchsize64_datasize256_total_epoch10_totaldata2000,7.776772501907209
p100_ResNet50_batchsize64_datasize64_total_epoch10_totaldata5000,g5_ResNet50_batchsize64_datasize128_total_epoch10_totaldata5000,3.47371723888349
p100_ResNet50_batchsize256_datasize128_total_epoch10_totaldata5000,g4dn_InceptionV3_batchsize64_datasize128_total_epoch10_totaldata5000,0.7420126526972755
p100_ResNet50_batchsize64_datasize224_total_epoch10_totaldata2000,g5_InceptionResNetV2_batchsize64_datasize224_total_epoch10_totaldata2000,1.3485207576648544
p100_ResNet50_batchsize64_datasize32_total_epoch10_totaldata50000,g4dn_LeNet5_batchsize64_datasize32_total_epoch10_totaldata50000,2.834545122601806
p100_ResNet50_batchsize128_datasize128_total_epoch10_totaldata5000,p3_InceptionV3_batchsize32_datasize128_total_epoch10_totaldata5000,0.7033773578798711
p100_ResNet50_batchsize256_datasize32_total_epoch10_totaldata50000,g5_InceptionResNetV2_batchsize32_datasize256_total_epoch10_totaldata2000,4.6593771017414936
p100_ResNet50_batchsize32_datasize128_total_epoch10_totaldata5000,g5_InceptionResNetV2_batchsize32_datasize224_total_epoch10_totaldata2000,1.068144789854165
p100_ResNet50_batchsize16_datasize32_total_epoch10_totaldata50000,g5_ResNet50_batchsize16_datasize32_total_epoch10_totaldata50000,3.973333805672562
p100_ResNet50_batchsize256_datasize64_total_epoch10_totaldata5000,g5_ResNet50_batchsize128_datasize64_total_epoch10_totaldata5000,4.0126803952084105
p100_ResNet50_batchsize16_datasize256_total_epoch10_totaldata2000,g4dn_InceptionV3_batchsize64_datasize128_total_epoch10_totaldata5000,0.6210717019547258
